task_id	model	timestamp	Bleu-1	Bleu-2	Bleu-3	Bleu-4	Rouge	BERTScore
10	Qwen-2.5-VL-72B-Instruct	2025-05-16 22:01:04	41.0935	32.2174	27.1581	23.3922	47.2738	nan
10	Qwen-2.5-VL-72B-Instruct	2025-05-16 22:01:05	41.0935	32.2174	27.1581	23.3922	47.2738	nan
10	Qwen-2.5-VL-7B	2025-05-16 22:01:06	18.3149	9.3161	0.0000	0.0000	24.4479	nan
10	Qwen-2.5-VL-7B	2025-05-16 22:01:06	18.3149	9.3161	0.0000	0.0000	24.4479	nan
10	Qwen-2.5-VL-32B-Instruct	2025-05-16 22:01:07	19.7670	11.0788	5.6282	2.4132	28.9522	nan
10	Qwen-2.5-VL-32B-Instruct	2025-05-16 22:01:08	19.7670	11.0788	5.6282	2.4132	28.9522	nan
39	Qwen-2.5-VL-72B-Instruct	2025-05-16 22:01:11	24.2893	10.6190	5.1749	3.0608	14.4565	nan
39	Qwen-2.5-VL-72B-Instruct	2025-05-16 22:01:14	24.2893	10.6190	5.1749	3.0608	14.4565	nan
39	Qwen-2.5-VL-7B	2025-05-16 22:01:17	8.9607	1.9477	0.3631	0.0000	6.3719	nan
39	Qwen-2.5-VL-7B	2025-05-16 22:01:20	8.9607	1.9477	0.3631	0.0000	6.3719	nan
39	Qwen-2.5-VL-32B-Instruct	2025-05-16 22:01:23	15.7544	6.9348	2.8420	1.4204	13.4892	nan
