task_id	model	Bleu-4	Rouge	BERTScore
10	InternVL3-9B-Instruct	29.46	47.71	82.17
10	Do-7B	0.00	1.62	66.54
10	qwen2.5-vl-3b-instruct	18.47	40.50	75.72
10	gemini-2.0-pro-exp-02-05	31.18	48.60	81.60
10	gemini-2.5-pro-preview-03-25	27.28	43.86	80.08
10	Do-3B	0.00	2.59	67.95
10	Mistral-Small-3.1-24B-Instruct-2503	29.99	47.57	82.62
10	Qwen2.5-VL-72B-Instruct	27.76	47.59	82.17
10	Qwen2.5-VL-32B-Instruct	17.00	40.08	77.73
10	qwen-max-2025-01-25	30.67	49.00	82.55
10	LLaVA-1.5-13B-HF	20.93	37.24	77.96
10	Phi-4-multimodal-instruct	21.94	42.15	80.04
10	gpt-4o-mini	11.73	36.29	77.53
10	doubao-1.5-vision-pro-32k-250115	8.64	33.30	78.42
10	Qwen2.5-VL-7B-Instruct-Pro	30.68	48.22	81.49
10	gpt-4o-2024-08-06	33.77	49.96	81.58
10	claude-3-7-sonnet-20250219	1.29	16.66	71.66
11	InternVL3-9B-Instruct	57.23	69.22	89.34
11	Do-7B	2.51	7.34	71.44
11	qwen2.5-vl-3b-instruct	80.88	89.02	98.28
11	gemini-2.0-pro-exp-02-05	67.11	84.61	97.23
11	gemini-2.5-pro-preview-03-25	15.88	25.95	75.98
11	Do-3B	28.15	37.15	81.76
11	Mistral-Small-3.1-24B-Instruct-2503	9.47	27.83	77.05
11	Qwen2.5-VL-72B-Instruct	66.32	78.66	93.86
11	Qwen2.5-VL-32B-Instruct	19.48	41.76	81.36
11	qwen-max-2025-01-25	58.23	77.34	93.56
11	LLaVA-1.5-13B-HF	14.09	22.47	75.37
11	Phi-4-multimodal-instruct	49.34	69.17	94.02
11	gpt-4o-mini	22.97	42.09	82.75
11	doubao-1.5-vision-pro-32k-250115	24.54	40.83	83.24
11	Qwen2.5-VL-7B-Instruct-Pro	62.69	72.27	93.87
11	gpt-4o-2024-08-06	67.37	86.84	98.43
11	claude-3-7-sonnet-20250219	1.35	17.37	76.02
44	InternVL3-9B-Instruct	0.00	0.00	nan
44	Do-7B	0.00	0.00	nan
44	qwen2.5-vl-3b-instruct	0.00	0.00	nan
44	gemini-2.0-pro-exp-02-05	0.00	0.00	nan
44	gemini-2.5-pro-preview-03-25	0.00	0.00	nan
44	Do-3B	0.00	0.00	nan
44	Mistral-Small-3.1-24B-Instruct-2503	0.00	0.00	nan
44	Qwen2.5-VL-72B-Instruct	0.00	0.00	nan
44	Qwen2.5-VL-32B-Instruct	0.00	0.00	nan
44	qwen-max-2025-01-25	0.00	0.00	nan
44	LLaVA-1.5-13B-HF	0.00	0.00	nan
44	Phi-4-multimodal-instruct	0.00	0.00	nan
44	gpt-4o-mini	0.00	0.00	nan
44	doubao-1.5-vision-pro-32k-250115	0.00	0.00	nan
44	Qwen2.5-VL-7B-Instruct-Pro	0.00	0.00	nan
44	gpt-4o-2024-08-06	0.00	0.00	nan
44	claude-3-7-sonnet-20250219	0.00	0.00	nan
