task_id	model	acc
04	InternVL3-9B-Instruct	0.1300
04	Do-7B	0.0000
04	gemini-2.5-pro-preview-03-25	0.1000
04	Do-3B	0.0000
04	Mistral-Small-3.1-24B-Instruct-2503	0.0500
04	LLaVA-1.5-13B-HF	0.0000
04	Phi-4-multimodal-instruct	0.0600
17	InternVL3-9B-Instruct	0.1900
17	Do-7B	0.0000
17	gemini-2.5-pro-preview-03-25	0.0800
17	Do-3B	0.0100
17	Mistral-Small-3.1-24B-Instruct-2503	0.1200
17	LLaVA-1.5-13B-HF	0.0000
17	Phi-4-multimodal-instruct	0.1600
23	InternVL3-9B-Instruct	0.2800
23	Do-7B	0.0100
23	gemini-2.5-pro-preview-03-25	0.2400
23	Do-3B	0.0000
23	Mistral-Small-3.1-24B-Instruct-2503	0.0600
23	LLaVA-1.5-13B-HF	0.0000
23	Phi-4-multimodal-instruct	0.1500
32	InternVL3-9B-Instruct	0.1650
32	Do-7B	0.0000
32	gemini-2.5-pro-preview-03-25	0.0388
32	Do-3B	0.0000
32	Mistral-Small-3.1-24B-Instruct-2503	0.0971
32	LLaVA-1.5-13B-HF	0.0000
32	Phi-4-multimodal-instruct	0.0680
64	InternVL3-9B-Instruct	0.1300
64	Do-7B	0.0000
64	gemini-2.5-pro-preview-03-25	0.1500
64	Do-3B	0.0000
64	Mistral-Small-3.1-24B-Instruct-2503	0.0600
64	LLaVA-1.5-13B-HF	0.0000
64	Phi-4-multimodal-instruct	0.0300
09	InternVL3-9B-Instruct	0.1200
09	Do-7B	0.0000
09	gemini-2.5-pro-preview-03-25	0.1600
09	Do-3B	0.0000
09	Mistral-Small-3.1-24B-Instruct-2503	0.1400
09	LLaVA-1.5-13B-HF	0.0000
09	Phi-4-multimodal-instruct	0.0300
13	InternVL3-9B-Instruct	0.0784
13	Do-7B	0.0000
13	gemini-2.5-pro-preview-03-25	0.0882
13	Do-3B	0.0000
13	Mistral-Small-3.1-24B-Instruct-2503	0.1078
13	LLaVA-1.5-13B-HF	0.0000
13	Phi-4-multimodal-instruct	0.1373
16	InternVL3-9B-Instruct	0.0100
16	Do-7B	0.0000
16	gemini-2.5-pro-preview-03-25	0.0200
16	Do-3B	0.0000
16	Mistral-Small-3.1-24B-Instruct-2503	0.0000
16	LLaVA-1.5-13B-HF	0.0000
16	Phi-4-multimodal-instruct	0.0100
18	InternVL3-9B-Instruct	0.1471
18	Do-7B	0.0000
18	gemini-2.5-pro-preview-03-25	0.1667
18	Do-3B	0.0000
18	Mistral-Small-3.1-24B-Instruct-2503	0.1961
18	LLaVA-1.5-13B-HF	0.0000
18	Phi-4-multimodal-instruct	0.1569
31	InternVL3-9B-Instruct	0.3960
31	Do-7B	0.0000
31	gemini-2.5-pro-preview-03-25	0.3267
31	Do-3B	0.0099
31	Mistral-Small-3.1-24B-Instruct-2503	0.3861
31	LLaVA-1.5-13B-HF	0.0000
31	Phi-4-multimodal-instruct	0.3267
37	InternVL3-9B-Instruct	0.0266
37	Do-7B	0.0000
37	gemini-2.5-pro-preview-03-25	0.0249
37	Do-3B	0.0000
37	Mistral-Small-3.1-24B-Instruct-2503	0.0266
37	LLaVA-1.5-13B-HF	0.0000
37	Phi-4-multimodal-instruct	0.0551
38	InternVL3-9B-Instruct	0.1300
38	Do-7B	0.0000
38	gemini-2.5-pro-preview-03-25	0.1200
38	Do-3B	0.0000
38	Mistral-Small-3.1-24B-Instruct-2503	0.0200
38	LLaVA-1.5-13B-HF	0.0000
38	Phi-4-multimodal-instruct	0.2700
47	InternVL3-9B-Instruct	0.0782
47	Do-7B	0.0000
47	gemini-2.5-pro-preview-03-25	0.0112
47	Do-3B	0.0000
47	Mistral-Small-3.1-24B-Instruct-2503	0.0056
47	LLaVA-1.5-13B-HF	0.0000
47	Phi-4-multimodal-instruct	0.2626
49	InternVL3-9B-Instruct	0.0301
49	Do-7B	0.0000
49	gemini-2.5-pro-preview-03-25	0.0241
49	Do-3B	0.0000
49	Mistral-Small-3.1-24B-Instruct-2503	0.0241
49	LLaVA-1.5-13B-HF	0.0000
49	Phi-4-multimodal-instruct	0.0422
50	InternVL3-9B-Instruct	0.0577
50	Do-7B	0.0000
50	gemini-2.5-pro-preview-03-25	0.1154
50	Do-3B	0.0000
